Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,TOR,Andrea Bargnani,,433,13130,6581,2095,544,.437,.361,.825,30.3,15.2,4.8,1.3,16.3,.059
2,CHI,LaMarcus Aldridge,University of Texas at Austin,508,17962,9298,3943,959,.493,.208,.783,35.4,18.3,7.8,1.9,53.3,.142
3,CHA,Adam Morrison,Gonzaga University,161,3278,1200,342,222,.373,.331,.710,20.4,7.5,2.1,1.4,-1.4,-0.021
4,POR,Tyrus Thomas,Louisiana State University,400,7925,3089,1938,346,.438,.235,.732,19.8,7.7,4.8,0.9,12.9,.078
5,ATL,Shelden Williams,Duke University,361,5586,1618,1562,163,.462,.222,.740,15.5,4.5,4.3,0.5,9.9,.085
6,MIN,Brandon Roy,University of Washington,326,11561,6136,1388,1517,.459,.348,.800,35.5,18.8,4.3,4.7,37.4,.155
7,BOS,Randy Foye,Villanova University,471,12781,5395,1058,1410,.409,.377,.856,27.1,11.5,2.2,3.0,17.3,.065
8,HOU,Rudy Gay,University of Connecticut,512,18484,9205,2970,1048,.450,.343,.777,36.1,18.0,5.8,2.0,30.8,.080
9,GSW,Patrick O'Bryant,Bradley University,90,524,186,127,25,.494,.000,.583,5.8,2.1,1.4,0.3,0.5,.046
10,SEA,Mouhamed Sene,,47,260,103,75,1,.427,,.589,5.5,2.2,1.6,0.0,0.3,.052
11,ORL,J.J. Redick,Duke University,424,9474,4006,773,845,.429,.390,.881,22.3,9.4,1.8,2.0,25.2,.128
12,NOK,Hilton Armstrong,University of Connecticut,277,3281,855,719,97,.501,.286,.590,11.8,3.1,2.6,0.4,3.6,.052
13,PHI,Thabo Sefolosha,,490,11297,2815,1828,728,.446,.354,.743,23.1,5.7,3.7,1.5,21.3,.091
14,UTA,Ronnie Brewer,University of Arkansas,478,11379,3933,1413,818,.492,.256,.676,23.8,8.2,3.0,1.7,30.4,.128
15,NOK,Cedric Simmons,North Carolina State University,75,705,163,141,14,.409,,.390,9.4,2.2,1.9,0.2,0.1,.005
16,CHI,Rodney Carney,University of Memphis,299,4600,1778,588,132,.422,.338,.704,15.4,5.9,2.0,0.4,6.2,.064
17,IND,Shawne Williams,University of Memphis,215,3530,1226,612,146,.407,.335,.736,16.4,5.7,2.8,0.7,4.1,.056
