Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,NOH,Anthony Davis,University of Kentucky,64,1846,867,522,63,.516,.000,.751,28.8,13.5,8.2,1.0,6.1,.159
2,CHA,Michael Kidd-Gilchrist,University of Kentucky,78,2025,704,455,117,.458,.222,.749,26.0,9.0,5.8,1.5,2.1,.051
3,WAS,Bradley Beal,University of Florida,56,1745,780,211,137,.410,.386,.786,31.2,13.9,3.8,2.4,3.0,.082
4,CLE,Dion Waiters,Syracuse University,61,1756,894,149,183,.412,.310,.746,28.8,14.7,2.4,3.0,0.9,.026
5,SAC,Thomas Robinson,University of Kansas,70,1056,333,315,46,.430,.000,.523,15.1,4.8,4.5,0.7,-0.1,-0.002
6,POR,Damian Lillard,Weber State University,82,3167,1562,257,531,.429,.368,.844,38.6,19.0,3.1,6.5,5.8,.088
7,GSW,Harrison Barnes,University of North Carolina,81,2058,748,333,98,.439,.359,.758,25.4,9.2,4.1,1.2,2.8,.065
8,TOR,Terrence Ross,University of Washington,73,1239,467,144,53,.407,.332,.714,17.0,6.4,2.0,0.7,0.9,.034
9,DET,Andre Drummond,University of Connecticut,60,1243,476,457,30,.608,.500,.371,20.7,7.9,7.6,0.5,4.5,.172
10,NOH,Austin Rivers,Duke University,61,1418,377,109,127,.372,.326,.546,23.2,6.2,1.8,2.1,-1.1,-0.038
11,POR,Meyers Leonard,University of Illinois at Urbana-Champaign,69,1206,377,255,33,.545,.429,.809,17.5,5.5,3.7,0.5,2.4,.097
12,HOU,Jeremy Lamb,University of Connecticut,23,147,71,18,5,.353,.300,1.000,6.4,3.1,0.8,0.2,0.2,.058
13,PHO,Kendall Marshall,University of North Carolina,48,702,143,42,143,.371,.315,.571,14.6,3.0,0.9,3.0,-0.2,-0.012
14,MIL,John Henson,University of North Carolina,63,827,380,297,31,.482,.000,.533,13.1,6.0,4.7,0.5,1.9,.109
15,PHI,Maurice Harkless,St. John's University,76,1974,625,335,50,.461,.274,.570,26.0,8.2,4.4,0.7,2.4,.059
16,HOU,Royce White,Iowa State University,,,,,,,,,,,,,,
17,DAL,Tyler Zeller,University of North Carolina,77,2033,610,438,96,.438,.000,.764,26.4,7.9,5.7,1.2,2.0,.048
18,HOU,Terrence Jones,University of Kentucky,19,276,104,65,15,.457,.263,.765,14.5,5.5,3.4,0.8,0.7,.128
19,ORL,Andrew Nicholson,St. Bonaventure University,75,1249,587,258,44,.527,,.798,16.7,7.8,3.4,0.6,1.7,.065
20,DEN,Evan Fournier,,38,428,202,35,44,.493,.407,.769,11.3,5.3,0.9,1.2,1.0,.115
21,BOS,Jared Sullinger,Ohio State University,45,892,270,264,35,.493,.200,.746,19.8,6.0,5.9,0.8,2.7,.146
22,BOS,Fab Melo,Syracuse University,6,36,7,3,0,.500,,.250,6.0,1.2,0.5,0.0,0.0,.021
23,ATL,John Jenkins,Vanderbilt University,61,902,374,94,56,.446,.384,.843,14.8,6.1,1.5,0.9,1.7,.091
24,CLE,Jared Cunningham,Oregon State University,8,26,16,3,1,.429,.667,1.000,3.3,2.0,0.4,0.1,0.0,.033
25,MEM,Tony Wroten,University of Washington,35,272,91,28,43,.384,.250,.724,7.8,2.6,0.8,1.2,0.1,.017
26,IND,Miles Plumlee,Duke University,14,55,13,22,2,.238,,.750,3.9,0.9,1.6,0.1,0.0,-0.015
27,MIA,Arnett Moultrie,Mississippi State University,47,542,174,145,10,.582,,.643,11.5,3.7,3.1,0.2,1.7,.149
28,OKC,Perry Jones,Baylor University,38,280,88,62,10,.394,.000,.667,7.4,2.3,1.6,0.3,0.0,-0.003
29,CHI,Marquis Teague,University of Kentucky,48,392,99,44,63,.381,.174,.563,8.2,2.1,0.9,1.3,-0.3,-0.031
30,GSW,Festus Ezeli,Vanderbilt University,78,1120,191,313,22,.438,,.531,14.4,2.4,4.0,0.3,1.5,.066
31,CHA,Jeff Taylor,Vanderbilt University,77,1507,472,150,63,.431,.344,.728,19.6,6.1,1.9,0.8,1.2,.039
32,WAS,Tomas Satoransky,,,,,,,,,,,,,,,
33,CLE,Bernard James,Florida State University,46,457,131,131,6,.515,.000,.610,9.9,2.8,2.8,0.1,1.2,.125
34,CLE,Jae Crowder,Marquette University,78,1353,392,187,94,.384,.328,.644,17.3,5.0,2.4,1.2,1.5,.055
35,GSW,Draymond Green,Michigan State University,79,1061,227,260,53,.327,.209,.818,13.4,2.9,3.3,0.7,0.6,.028
36,SAC,Orlando Johnson,University of California Santa Barbara,51,619,203,110,47,.400,.383,.719,12.1,4.0,2.2,0.9,1.5,.115
37,TOR,Quincy Acy,Baylor University,29,342,116,77,11,.560,.500,.816,11.8,4.0,2.7,0.4,1.1,.157
38,DEN,Quincy Miller,Baylor University,7,26,9,2,3,.333,.000,.500,3.7,1.3,0.3,0.4,0.0,-0.051
39,DET,Khris Middleton,Texas A&M University,27,475,165,50,28,.440,.311,.844,17.6,6.1,1.9,1.0,0.9,.089
40,POR,Will Barton,University of Memphis,73,894,295,145,58,.382,.138,.769,12.2,4.0,2.0,0.8,-0.5,-0.028
41,POR,Tyshawn Taylor,University of Kansas,38,221,85,18,21,.368,.462,.556,5.8,2.2,0.5,0.6,-0.4,-0.077
42,MIL,Doron Lamb,University of Kentucky,47,577,154,46,32,.368,.378,.588,12.3,3.3,1.0,0.7,-0.4,-0.032
43,ATL,Mike Scott,University of Virginia,40,376,183,110,12,.476,.000,.768,9.4,4.6,2.8,0.3,0.9,.110
44,DET,Kim English,University of Missouri,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021
45,PHI,Justin Hamilton,Louisiana State University,,,,,,,,,,,,,,
46,NOH,Darius Miller,University of Kentucky,52,694,118,78,44,.407,.393,1.000,13.3,2.3,1.5,0.8,0.5,.034
47,UTA,Kevin Murphy,Tennessee Technological University,17,52,15,4,2,.250,.200,,3.1,0.9,0.2,0.1,-0.3,-0.272
48,NYK,Kostas Papanikolaou,,,,,,,,,,,,,,,
49,ORL,Kyle O'Quinn,Norfolk State University,57,638,232,209,52,.513,.000,.667,11.2,4.1,3.7,0.9,1.4,.107
50,DEN,Izzet Turkyilmaz,,,,,,,,,,,,,,,
51,BOS,Kris Joseph,Syracuse University,10,54,9,7,1,.143,.000,.625,5.4,0.9,0.7,0.1,-0.1,-0.127
52,GSW,Ognjen Kuzmic,,,,,,,,,,,,,,,
53,LAC,Furkan Aldemir,,,,,,,,,,,,,,,
54,PHI,Tornike Shengelia,,19,93,30,23,3,.435,.500,.563,4.9,1.6,1.2,0.2,0.0,-0.017
55,DAL,Darius Johnson-Odom,Marquette University,4,6,0,4,1,.000,.000,,1.5,0.0,1.0,0.3,-0.1,-0.439
56,TOR,Tomislav Zubcic,,,,,,,,,,,,,,,
57,NJN,Ilkan Karaman,,,,,,,,,,,,,,,
58,MIN,Robbie Hummel,Purdue University,,,,,,,,,,,,,,
59,SAS,Marcus Denmon,University of Missouri,,,,,,,,,,,,,,
60,LAL,Robert Sacre,Gonzaga University,32,203,43,34,6,.375,,.636,6.3,1.3,1.1,0.2,-0.1,-0.024
