Jahr,Position,Fahrer,Doping
1999,2,Alex ZŸlle,1998
,3,Fernando Escartin,
,4,Laurent Dufaux,1998
,5,Angel Casero,
2000,2,Jan Ulrich,2006
,3,Joseba Beloki,
,4,Christophe Moreau,1998
,5,Roberto Heras,2006
2001,2,Jan Ulrich,2006
,3,Joseba Beloki,
,4,Andrei Kivilev,
,5,Igor Gonzalez,
2002,2,Joseba Beloki,
,3,Raimondas Rumsas,2004
,4,Santiago Botero,
,5,Igor Gonzalez,
2003,2,Jan Ulrich,2006
,3,Alexandre Vinokourov,2007
,4,Tyler Hamilton,2005
,5,Haimar Zubeldia,
2004,2,2. Andreas Klšden,
,3,Ivan Basso,2006
,4,Jan Ulrich,2006
,5,Jose Azevedo,
2005,2,Ivan Basso,2006
,3,Jan Ulrich,2006
,4,Francisco Mancebo,
,5,Alexandre Vinokourov,2007
