Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,WAS,Kwame Brown,,607,13389,4035,3333,554,.492,.111,.570,22.1,6.6,5.5,0.9,20.8,.074
2,LAC,Tyson Chandler,,790,22508,6882,7168,634,.584,.000,.639,28.5,8.7,9.1,0.8,73.7,.157
3,ATL,Pau Gasol,,845,30346,15535,7756,2780,.518,.243,.750,35.9,18.4,9.2,3.3,110.1,.174
4,CHI,Eddy Curry,,527,13109,6820,2725,287,.545,1.000,.642,24.9,12.9,5.2,0.5,21.7,.080
5,GSW,Jason Richardson,Michigan State University,838,28825,14472,4179,2246,.440,.371,.707,34.4,17.3,5.0,2.7,58.7,.098
6,MEM,Shane Battier,Duke University,904,28536,8110,3944,1654,.440,.387,.745,31.6,9.0,4.4,1.8,73.3,.123
7,NJN,Eddie Griffin,Seton Hall University,303,6729,2171,1744,236,.377,.315,.671,22.2,7.2,5.8,0.8,10.9,.078
8,CLE,DeSagana Diop,,601,8403,1185,2219,270,.427,.167,.467,14.0,2.0,3.7,0.4,12.8,.073
9,DET,Rodney White,University of North Carolina at Charlotte,218,3354,1540,485,237,.424,.314,.749,15.4,7.1,2.2,1.1,1.8,.026
10,BOS,Joe Johnson,University of Arkansas,903,33117,15927,3698,3948,.442,.369,.798,36.7,17.6,4.1,4.4,66.4,.096
11,BOS,Kedrick Brown,Okaloosa-Walton Community College,143,1935,509,347,103,.405,.274,.640,13.5,3.6,2.4,0.7,3.0,.074
12,SEA,Vladimir Radmanovic,,737,16164,5879,2784,998,.415,.378,.758,21.9,8.0,3.8,1.4,26.5,.079
13,HOU,Richard Jefferson,University of Arizona,852,27733,12753,3970,2069,.466,.371,.774,32.6,15.0,4.7,2.4,73.1,.127
14,GSW,Troy Murphy,University of Notre Dame,729,19921,7860,5708,1088,.445,.388,.785,27.3,10.8,7.8,1.5,50.3,.121
15,ORL,Steven Hunter,DePaul University,400,5993,1817,1264,79,.560,.000,.485,15.0,4.5,3.2,0.2,10.6,.085
16,CHH,Kirk Haston,Indiana University,27,134,32,27,8,.232,.000,.500,5.0,1.2,1.0,0.3,-0.5,-0.197
17,TOR,Michael Bradley,Villanova University,173,2016,483,591,93,.477,.143,.511,11.7,2.8,3.4,0.5,2.0,.047
18,HOU,Jason Collins,Stanford University,713,14802,2596,2687,622,.410,.226,.647,20.8,3.6,3.8,0.9,20.0,.065
19,POR,Zach Randolph,Michigan State University,766,24297,13138,7142,1305,.472,.265,.765,31.7,17.2,9.3,1.7,58.6,.116
20,CLE,Brendan Haywood,University of North Carolina,794,18561,5503,4846,440,.528,.000,.587,23.4,6.9,6.1,0.6,43.8,.113
21,BOS,Joseph Forte,University of North Carolina,25,125,30,17,17,.234,.000,.800,5.0,1.2,0.7,0.7,-0.4,-0.166
22,ORL,Jeryl Sasser,Southern Methodist University,82,1061,204,191,67,.303,.295,.687,12.9,2.5,2.3,0.8,0.7,.032
23,HOU,Brandon Armstrong,Pepperdine University,108,699,239,63,24,.352,.333,.600,6.5,2.2,0.6,0.2,-0.6,-0.039
24,UTA,Raul Lopez,,113,2135,733,194,428,.429,.346,.853,18.9,6.5,1.7,3.8,2.1,.047
25,SAC,Gerald Wallace,University of Alabama,742,23029,9600,4569,1571,.468,.313,.718,31.0,12.9,6.2,2.1,58.3,.122
26,PHI,Samuel Dalembert,Seton Hall University,774,19488,6157,6233,398,.520,.091,.704,25.2,8.0,8.1,0.5,46.1,.114
27,MEM,Jamaal Tinsley,Iowa State University,539,14333,4643,1594,3307,.393,.302,.716,26.6,8.6,3.0,6.1,17.5,.059
28,SAS,Tony Parker,,872,28688,14917,2645,5247,.494,.313,.748,32.9,17.1,3.0,6.0,90.2,.151
29,CHI,Trenton Hassell,Austin Peay State University,644,16278,3741,1826,1132,.445,.318,.765,25.3,5.8,2.8,1.8,13.8,.041
30,GSW,Gilbert Arenas,University of Arizona,552,19351,11402,2168,2909,.421,.351,.803,35.1,20.7,3.9,5.3,51.3,.127
31,ORL,Omar Cook,St. John's University,22,213,37,13,46,.333,.000,.500,9.7,1.7,0.6,2.1,-0.1,-0.021
32,MEM,Will Solomon,Clemson University,115,1584,584,132,225,.378,.298,.692,13.8,5.1,1.1,2.0,0.0,.000
33,ATL,Terence Morris,University of Maryland,139,1934,472,377,93,.407,.196,.711,13.9,3.4,2.7,0.7,1.0,.025
34,NJN,Brian Scalabrine,University of Southern California,520,6772,1594,1034,436,.390,.344,.783,13.0,3.1,2.0,0.8,7.6,.054
35,CLE,Jeff Trepagnier,University of Southern California,31,270,88,43,22,.337,.462,.700,8.7,2.8,1.4,0.7,-0.2,-0.038
36,PHI,Damone Brown,Syracuse University,39,351,108,52,19,.336,.286,.667,9.0,2.8,1.3,0.5,-0.7,-0.100
37,DET,Mehmet Okur,,634,18429,8561,4436,1089,.458,.375,.797,29.1,13.5,7.0,1.7,54.7,.142
38,NYK,Michael Wright,University of Arizona,,,,,,,,,,,,,,
39,SEA,Earl Watson,University of California Los Angeles,854,19333,5581,1970,3843,.411,.324,.702,22.6,6.5,2.3,4.5,19.3,.048
40,IND,Jamison Brewer,Auburn University,54,468,89,50,56,.372,.250,.393,8.7,1.6,0.9,1.0,0.0,-0.001
41,SEA,Bobby Simmons,DePaul University,466,11513,4189,1791,710,.437,.396,.823,24.7,9.0,3.8,1.5,20.1,.084
42,NYK,Eric Chenowith,University of Kansas,,,,,,,,,,,,,,
43,DAL,Kyle Hill,Eastern Illinois University,,,,,,,,,,,,,,
44,CHI,Sean Lampley,University of California,45,550,203,94,33,.463,.000,.691,12.2,4.5,2.1,0.7,1.1,.096
45,MIN,Loren Woods,University of Arizona,215,2428,555,682,74,.419,.143,.642,11.3,2.6,3.2,0.3,3.1,.062
46,DEN,Ousmane Cisse,,,,,,,,,,,,,,,
47,MEM,Antonis Fotsis,,28,320,108,62,10,.404,.304,.850,11.4,3.9,2.2,0.4,0.1,.017
48,MIA,Ken Johnson,Ohio State University,16,156,32,32,0,.405,,.333,9.8,2.0,2.0,0.0,0.0,-0.002
49,POR,Ruben Boumtje-Boumtje,Georgetown University,44,276,43,57,6,.368,,.556,6.3,1.0,1.3,0.1,0.2,.027
50,PHO,Alton Ford,University of Houston,73,524,186,124,11,.507,,.697,7.2,2.5,1.7,0.2,0.8,.074
51,MIL,Andre Hutson,Michigan State University,,,,,,,,,,,,,,
52,UTA,Jarron Collins,Stanford University,542,8542,2095,1579,419,.455,.000,.699,15.8,3.9,2.9,0.8,15.7,.088
53,DAL,Kenny Satterfield,University of Cincinnati,75,1062,321,95,176,.335,.218,.746,14.2,4.3,1.3,2.3,-1.1,-0.051
54,SAC,Maurice Jeffers,Saint Louis University,,,,,,,,,,,,,,
55,SAS,Robertas Javtokas,,,,,,,,,,,,,,,
56,PHI,Alvin Jones,Georgia Institute of Technology,23,126,26,36,3,.400,,.500,5.5,1.1,1.6,0.1,0.1,.034
57,SAS,Bryan Bracey,University of Oregon,,,,,,,,,,,,,,
